Billing Document,Item,Billing Type,Billing Date,Billing Qty in SKU,Material,Item Description,Material Group,Assignment
60000772,20,ZF2,4/21/2025,50,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000772
60000773,10,ZF2,4/21/2025,100,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000773
60000773,20,ZF2,4/21/2025,75,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000773
60000774,10,ZF2,4/21/2025,275,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000774
60000774,20,ZF2,4/21/2025,550,34000118,BENEFEED C Deshi Finsher CRB50,FPDF01,60000774
60000775,10,ZF2,4/22/2025,100,34000001,COMFEED C Broiler Starter CRB50 CT,FPBF01,60000775
60000776,10,ZF2,4/22/2025,150,34000147,STP SF ADULT FISH 16/3 PELLET50kg,FPFF01,60000776
60000776,20,ZF2,4/22/2025,200,34000001,COMFEED C Broiler Starter CRB50 CT,FPBF01,60000776
60000777,10,ZF2,4/22/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000777
60000777,20,ZF2,4/22/2025,100,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000777
60000778,10,ZF2,4/23/2025,550,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60000778
60000779,10,ZF2,4/23/2025,1150,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60000779
60000780,10,ZF2,4/24/2025,22,34000195,WHEEL,RWMT01,60000780
60000781,10,ZF2,4/24/2025,550,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000781
60000781,20,ZF2,4/24/2025,1050,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000781
60000782,10,ZF2,4/24/2025,550,34000006,COMFEED C Broiler Finsher CRB50,FPBF01,60000782
60000782,20,ZF2,4/24/2025,650,34000005,COMFEED C Broiler Finsher Pellet50,FPBF01,60000782
60000783,10,ZF2,4/24/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000783
60000784,10,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000784
60000785,10,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000785
60000786,10,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000786
60000786,20,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000786
60000787,10,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000787
60000787,20,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000787
60000788,10,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000788
60000788,20,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000788
60000789,10,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000789
60000789,20,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000789
60000790,10,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000790
60000790,20,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000790
60000791,10,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000791
60000791,20,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000791
60000792,10,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000792
60000792,20,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000792
60000793,10,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000793
60000793,20,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000793
60000794,10,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000794
60000794,20,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000794
60000795,10,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000795
60000795,20,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000795
60000796,10,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000796
60000796,20,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000796
60000797,10,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000797
60000797,20,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000797
60000798,10,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000798
60000798,20,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000798
60000799,10,ZF2,4/25/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000799
60000799,20,ZF2,4/25/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000799
60000800,10,ZF2,4/29/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000800
60000800,20,ZF2,4/29/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000800
60000801,10,ZF2,4/29/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000801
60000801,20,ZF2,4/29/2025,50,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000801
60000802,10,ZF2,4/29/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000802
60000802,20,ZF2,4/29/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000802
60000803,10,ZF2,4/29/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000803
60000803,20,ZF2,4/29/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000803
60000804,10,ZF2,4/29/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000804
60000804,20,ZF2,4/29/2025,50,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000804
60000805,10,ZF2,4/29/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000805
60000805,20,ZF2,4/29/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000805
60000806,10,ZF2,4/29/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000806
60000806,20,ZF2,4/29/2025,50,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000806
60000807,10,ZF2,4/29/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000807
60000807,20,ZF2,4/29/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000807
60000808,10,ZF2,4/29/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000808
60000808,20,ZF2,4/29/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000808
60000809,10,ZF2,4/29/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000809
60000809,20,ZF2,4/29/2025,50,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000809
60000810,10,ZF2,4/29/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000810
60000810,20,ZF2,4/29/2025,50,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000810
60000811,10,ZF2,4/29/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000811
60000811,20,ZF2,4/29/2025,50,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000811
60000812,10,ZF2,02/05/2025,30000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000812
60000812,20,ZF2,02/05/2025,15000,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000812
60000813,10,ZF2,05/05/2025,3000,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000813
60000813,20,ZF2,05/05/2025,6500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000813
60000814,10,ZF2,05/05/2025,5500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000814
60000814,20,ZF2,05/05/2025,3000,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000814
60000815,10,ZF2,06/05/2025,6000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000815
60000816,10,ZF2,06/05/2025,400,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000816
60000817,10,ZF2,06/05/2025,350,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000817
60000818,10,ZF2,06/05/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000818
60000818,20,ZF2,06/05/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000818
60000819,10,ZF2,07/05/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000819
60000820,10,ZF2,07/05/2025,250,34000142,STP SF ADULT FISH 26/5 PELLET50kg,FPFF01,60000820
60000821,10,ZF2,07/05/2025,500,34000001,COMFEED C Broiler Starter CRB50 CT,FPBF01,60000821
60000822,10,ZF2,07/05/2025,100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000822
60000823,10,ZF2,07/05/2025,1050,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000823
60000824,10,ZF2,07/05/2025,2250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000824
60000826,10,ZF2,08/05/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000826
60000830,10,ZF2,5/13/2025,50,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000830
60000830,20,ZF2,5/13/2025,25,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000830
60000831,10,ZF2,5/13/2025,400,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000831
60000831,20,ZF2,5/13/2025,300,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000831
60000832,10,ZF2,5/13/2025,1150,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000832
60000832,20,ZF2,5/13/2025,525,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000832
60000833,10,ZF2,5/14/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000833
60000834,10,ZF2,5/14/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000834
60000835,10,ZF2,5/14/2025,500,34000142,STP SF ADULT FISH 26/5 PELLET50kg,FPFF01,60000835
60000836,10,ZF2,5/16/2025,50,34000147,STP SF ADULT FISH 16/3 PELLET50kg,FPFF01,60000836
60000837,10,ZF2,5/19/2025,17500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000837
60000837,20,ZF2,5/19/2025,30000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000837
60000838,10,ZF2,5/19/2025,1100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000838
60000839,10,ZF2,5/20/2025,1050,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000839
60000839,20,ZF2,5/20/2025,275,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000839
60000840,10,ZF2,5/20/2025,1750,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000840
60000840,20,ZF2,5/20/2025,700,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000840
60000841,10,ZF2,5/20/2025,550,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000841
60000841,20,ZF2,5/20/2025,275,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000841
60000842,10,ZF2,5/20/2025,1050,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000842
60000842,20,ZF2,5/20/2025,525,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000842
60000843,10,ZF2,5/20/2025,1250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000843
60000843,20,ZF2,5/20/2025,625,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000843
60000844,10,ZF2,5/20/2025,1250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000844
60000844,20,ZF2,5/20/2025,625,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000844
60000845,10,ZF2,5/20/2025,1250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000845
60000845,20,ZF2,5/20/2025,625,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000845
60000846,10,ZF2,5/20/2025,300,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000846
60000846,20,ZF2,5/20/2025,700,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000846
60000847,10,ZF2,3/17/2025,1000,34000007,COMFEED P Broiler Pre-Starter CRB50,FPBF01,60000847
60000848,10,ZF2,5/21/2025,1100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000848
60000848,20,ZF2,5/21/2025,450,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000848
60000849,10,ZF2,5/21/2025,550,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000849
60000849,20,ZF2,5/21/2025,900,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000849
60000850,10,ZF2,5/21/2025,1100,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000850
60000850,20,ZF2,5/21/2025,450,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000850
60000851,10,ZF2,5/21/2025,2700,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000851
60000851,20,ZF2,5/21/2025,1375,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000851
60000852,10,ZF2,5/21/2025,1300,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000852
60000852,20,ZF2,5/21/2025,525,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000852
60000853,10,ZF2,5/21/2025,600,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000853
60000853,20,ZF2,5/21/2025,150,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000853
60000854,10,ZF2,5/21/2025,1250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000854
60000854,20,ZF2,5/21/2025,550,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000854
60000855,10,ZF2,5/21/2025,1400,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000855
60000855,20,ZF2,5/21/2025,750,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000855
60000856,10,ZF2,5/21/2025,175,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000856
60000857,10,ZF2,5/21/2025,2500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000857
60000858,10,ZF2,5/21/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000858
60000859,10,ZF2,5/21/2025,1400,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000859
60000860,10,ZF2,5/21/2025,1500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000860
60000861,10,ZF2,5/22/2025,1950,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000861
60000861,20,ZF2,5/22/2025,700,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000861
60000862,10,ZF2,5/22/2025,1750,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000862
60000862,20,ZF2,5/22/2025,750,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000862
60000863,10,ZF2,5/22/2025,3750,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000863
60000864,10,ZF2,5/23/2025,1250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000864
60000864,20,ZF2,5/23/2025,625,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000864
60000865,10,ZF2,5/23/2025,50,34000076,COMFEED P Layer Starter CRB50,FPLF01,60000865
60000865,20,ZF2,5/23/2025,100,34000077,COMFEED P Layer Grower CRB50,FPLF01,60000865
60000865,40,ZF2,5/23/2025,200,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000865
60000865,50,ZF2,5/23/2025,125,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000865
60000866,10,ZF2,5/23/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000866
60000867,10,ZF2,5/23/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000867
60000868,10,ZF2,5/23/2025,1000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000868
60000869,10,ZF2,5/26/2025,8000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000869
60000869,11,ZF2,5/26/2025,9000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000869
60000869,12,ZF2,5/26/2025,9000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000869
60000870,10,ZF2,5/26/2025,1675,34000130,ULTRAFEED S CALF STARTER PELLET 25 KG,FPCF01,60000870
60000870,20,ZF2,5/26/2025,3850,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60000870
60000870,30,ZF2,5/26/2025,4400,34000132,ULTRAFEED S HEIFER FEED PELLET 50 KG,FPCF01,60000870
60000871,10,ZF2,5/26/2025,1675,34000130,ULTRAFEED S CALF STARTER PELLET 25 KG,FPCF01,60000871
60000871,20,ZF2,5/26/2025,3850,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60000871
60000871,30,ZF2,5/26/2025,4400,34000132,ULTRAFEED S HEIFER FEED PELLET 50 KG,FPCF01,60000871
60000872,10,ZF2,5/26/2025,9000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000872
60000873,10,ZF2,5/26/2025,4000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000873
60000873,20,ZF2,5/26/2025,1750,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000873
60000874,10,ZF2,5/26/2025,10500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000874
60000875,10,ZF2,5/27/2025,9000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000875
60000875,20,ZF2,5/27/2025,5500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000875
60000876,10,ZF2,5/28/2025,600,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000876
60000877,10,ZF2,5/28/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000877
60000878,10,ZF2,5/28/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000878
60000879,10,ZF2,5/29/2025,6000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000879
60000879,20,ZF2,5/29/2025,1500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000879
60000880,10,ZF2,5/29/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000880
60000880,20,ZF2,5/29/2025,1000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000880
60000881,10,ZF2,5/29/2025,600,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000881
60000881,20,ZF2,5/29/2025,300,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000881
60000882,10,ZF2,5/30/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000882
60000882,20,ZF2,5/30/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000882
60000883,10,ZF2,5/30/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000883
60000884,10,ZF2,5/30/2025,6000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000884
60000885,10,ZF2,5/30/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000885
60000886,10,ZF2,5/30/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000886
60000886,20,ZF2,5/30/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000886
60000887,10,ZF2,5/30/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000887
60000887,20,ZF2,5/30/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000887
60000888,10,ZF2,5/30/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000888
60000888,20,ZF2,5/30/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000888
60000889,10,ZF2,5/30/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000889
60000889,20,ZF2,5/30/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000889
60000890,10,ZF2,5/31/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000890
60000891,10,ZF2,02/06/2025,250,34000120,BENEFEED C Cockerel Grower CRB50,FPBF04,60000891
60000892,10,ZF2,5/30/2025,250,34000120,BENEFEED C Cockerel Grower CRB50,FPBF04,60000892
60000893,10,ZF2,02/06/2025,750,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000893
60000893,20,ZF2,02/06/2025,1500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000893
60000894,10,ZF2,02/06/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000894
60000894,20,ZF2,02/06/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000894
60000898,10,ZF2,03/06/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000898
60000898,20,ZF2,03/06/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000898
60000899,10,ZF2,04/06/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000899
60000899,20,ZF2,04/06/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000899
60000900,10,ZF2,04/06/2025,125,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000900
60000900,20,ZF2,04/06/2025,125,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000900
60000908,10,ZF2,06/06/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000908
60000908,20,ZF2,06/06/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000908
60000909,10,ZF2,06/06/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000909
60000909,20,ZF2,06/06/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000909
60000910,10,ZF2,06/06/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000910
60000910,20,ZF2,06/06/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000910
60000911,10,ZF2,09/06/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000911
60000917,10,ZF2,09/06/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000917
60000920,10,ZF2,09/06/2025,50,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000920
60000921,10,ZF2,09/06/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000921
60000922,10,ZF2,09/06/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000922
60000923,10,ZF2,09/06/2025,20000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000923
60000923,20,ZF2,09/06/2025,7500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000923
60000928,10,ZF2,11/06/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000928
60000929,10,ZF2,6/13/2025,600,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000929
60000930,10,ZF2,6/16/2025,400,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000930
60000931,10,ZF2,6/16/2025,250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000931
60000932,10,ZF2,6/17/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000932
60000933,10,ZF2,6/17/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000933
60000934,10,ZF2,6/17/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000934
60000935,10,ZF2,6/18/2025,750,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000935
60000936,10,ZF2,6/18/2025,250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000936
60000937,10,ZF2,6/18/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000937
60000938,10,ZF2,6/19/2025,1000,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000938
60000939,10,ZF2,6/19/2025,550,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000939
60000940,10,ZF2,6/19/2025,250,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000940
60000958,10,ZF2,6/24/2025,1100,34000142,STP SF ADULT FISH 26/5 PELLET50kg,FPFF01,60000958
60000993,10,ZF2,6/26/2025,1600,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000993
60000996,10,ZF2,6/26/2025,125,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000996
60000997,10,ZF2,6/24/2025,2500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000997
60000998,10,ZF2,6/30/2025,550,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000998
60000999,10,ZF2,6/30/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000999
60001000,10,ZF2,01/07/2025,1000,34000120,BENEFEED C Cockerel Grower CRB50,FPBF04,60001000
60001002,10,ZF2,01/07/2025,500,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60001002
60001003,10,ZF2,02/07/2025,1000,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60001003
60001004,10,ZF2,6/15/2025,1000,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60001004
60001005,10,ZF2,02/06/2025,500,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60001005
60001006,10,ZF2,01/07/2025,150,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60001006
60001007,10,ZF2,7/20/2025,50,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60001007
60001008,10,ZF2,6/20/2025,50,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60001008
60001009,10,ZF2,10/06/2025,100,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60001009
60001010,10,ZF2,5/25/2025,250,34000131,ULTRAFEED S CALF GROWER PELLET 50 KG,FPCF01,60001010
60001011,10,ZF2,01/07/2025,1250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60001011
60001012,10,ZF2,5/25/2025,500,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60001012
60001013,10,ZF2,05/05/2025,1250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60001013
60001014,10,ZF2,03/07/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60001014
60001015,10,ZF2,04/07/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60001015
60001016,10,ZF2,04/07/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60001016
60001017,10,ZF2,04/07/2025,125,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60001017
60001018,10,ZF2,04/07/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60001018
60001019,10,ZF2,04/07/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60001019
60001020,10,ZF2,04/07/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60001020
