Billing Document,Item,Billing Type,Billing Date,Billing Qty in SKU,Material,Item Description,Material Group,Assignment
60000720,10,ZF2,3/21/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000720
60000721,10,ZF2,3/24/2025,25000,34000008,COMFEED P Broiler Starter CRB50,FPBF01,60000721
60000721,20,ZF2,3/24/2025,58150,34000093,BENEFEED P Layer Layer Ph1 CRB50,FPLF01,60000721
60000721,40,ZF2,3/24/2025,15000,34000007,COMFEED P Broiler Pre-Starter CRB50,FPBF01,60000721
60000721,50,ZF2,3/24/2025,25000,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000721
60000722,10,ZF2,3/25/2025,1500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000722
60000723,10,ZF2,3/26/2025,1000,34000022,BENEFEED C Broiler Counter CRB25,FPBF01,60000723
60000724,10,ZF2,3/27/2025,2500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000724
60000725,10,ZF2,3/27/2025,150,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000725
60000726,10,ZF2,3/27/2025,3500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000726
60000738,10,ZF2,02/04/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000738
60000738,20,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000738
60000739,10,ZF2,02/04/2025,250,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000739
60000739,20,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000739
60000740,10,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000740
60000740,20,ZF2,02/04/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000740
60000741,10,ZF2,02/04/2025,25,34000009,COMFEED P Broiler Finsher Pellet50,FPBF01,60000741
60000741,20,ZF2,02/04/2025,50,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000741
60000742,10,ZF2,02/04/2025,500,34000010,COMFEED P Broiler Finsher CRB50,FPBF01,60000742
